topic0,darub,off,hinaus,klar,stellt,fest,steht,stell,bleib,zunach,bleibt,zukunft,unklar,gestellt,bislang,wann,genau,vollig,liess,konkret,moglicherweis,aussicht,zeitpunkt,weiterhin,durft,entschied,wahrschein,auss,bevor,zweit,klarheit,dar,kommt,blieb,heisst,erwart,lang,detail,aussag,ledig,ausgeschloss,ungewiss,besteh,geklart,endgult,danach,diskutiert,dritt,gemacht,besteht,option,denkbar,genannt,uberhaupt,rechn,dau,leg,stand,wort,sag,lauf,zweifel,weich,lieg,vorerst,ebenfall,deshalb,innerhalb,eindeut,vorstell,gescheh,nenn,schliess,bisher,anfang,sowohl,spatest,fuhr,gesproch,reih,daran,zumind,angesicht,ausseh,wed,schliesst,gelt,sicht,letzt,diskussion,tur,eventuell,zustand,ausgang,gegeb,uberleg,unsich,hintergrund,einschatz,festleg
 ,0.364,0.039,0.025,0.016,0.015,0.015,0.01,0.01,0.009,0.008,0.007,0.007,0.007,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic161,pol,polnisch,warschau,ess,rag,kohl,bergbau,steinkohl,solidaritat,bergleut,kaczynski,zech,zloty,walesa,vertrieb,grenz,betont,kumpel,vertret,recht,forder,subvention,ehemal,balsam,mind,zukunft,staatsprasident,ministerprasident,gehort,ruhrkohl,kommunist,arbeit,ausserd,ruhr,lech_walesa,aleksander_kwasniewski,sld,danzig,erhalt,steag,neue_ruhr,woll,zusamm,vergang,gazeta_wyborcza,steht,buzek,bergwerk,gerecht,bauernpartei,bergarbeit,energi,fuhr,ruhrgebiet,jerzy,unterstutz,nachbarn,interess,vorsitz,pis,krakau,schwierig,verhaltnis,rhein_zeitung,oleksy,sejm,beitritt,bezieh,uw,knapp,bislang,tusk,leszek,gehor,national,stellt,ausstieg,aws,gefuhrt,rzeczpospolita,procedo,gemeinsam,heimisch,millionen_tonnen,pos,letzt,kohlesubvention,gefordert,lepp,fuhrt,zentrum,revi,gemacht,stell,werner_müller,meint,wend,mitt,lech_kaczynski,po
 ,0.084,0.064,0.038,0.028,0.015,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic162,schwed,schwedisch,norweg,danisch,stockholm,danemark,kron,kopenhag,finnland,finnisch,oslo,helsinki,sozialdemokrat,dan,island,meint,ericsson,skandinav,zusamm,knapp,persson,rasmuss,papi,volvo,ebenfall,skandinavi,gleichzeit,neb,milliarden_kronen,gehor,nachd,gehort,liegt,skr,letzt,nordeuropa,schweiz,ausserd,steht,zwolf,gesamt,kam,finn,hydro,trotz,million,goteborg,bisher,zuletzt,lang,ikea,deshalb,nannt,septemb,burg,setzt,beteiligt,goran,hst,wallenberg,nordisch,kommend,hoch,meist,lindh,bevolker,europas,bezeichnet,norsk,staatlich,schwer,gemacht,vollig,galt,obwohl,besond,fuhrt,telia,jeweil,herb,nord,einzig,mitt,zentrum,off,schnell,anfang,sieb,seb,zog,uberrasch,zeitung,beobacht,weltweit,lego,fmk,beitritt,danach,geword,poul
 ,0.041,0.039,0.035,0.025,0.024,0.024,0.02,0.018,0.016,0.013,0.012,0.009,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic163,frau,kind,famili,mann,elt,mutt,leb,ehe,alt,paar,beruf,recht,vat,gesellschaft,madch,homosexuell,ministerin,ley,sexuell,jung,weiblich,abtreib,familienpolit,betreu,gleich,schutz,erzieh,besond,geburt,erwachs,diskriminier,politikerin,kinderbetreu,mannlich,ehepaar,oft,allein,kindergeld,schwang,nolt,verheiratet,arbeit,familienministerin,bekomm,behindert,ehefrau,haufig,gleichstell,unterhalt,ehemann,scheidung,geschlecht,elterngeld,sterbehilf,zweit,gleichberecht,bundesfamilienministerin,berufstat,schwul,anspruch,minderjahr,gewalt,dritt,meist,partn,geschied,gebor,schwangerschaftsabbruch,schwangerschaft,wunsch,aktiv,rechtsanspruch,durf,abbruch,ungebor,alleinerzieh,sex,abtreibungsrecht,nehm,korp,kinderlos,benachteil,jahrig,thema,ehen,vergewalt,partnerschaft,stell,unterschied,bleib,benachteiligt,lebensjahr,heirat,ehepartn,gleichgeschlecht,gemeinsam,ehegatt,erziehungsgeld,elternteil,baby
 ,0.128,0.1,0.036,0.032,0.019,0.015,0.013,0.012,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic164,dat,syst,information,kart,kund,elektron,automat,telefon,comput,mail,system,person,technisch,nutz,test,zentral,datenschutz,numm,kreditkart,genannt,beispielsweis,anruf,gerat,erhalt,expert,fax,auskunft,einfach,hilf,verschied,stell,verfug,adress,zugang,gespeichert,wer,einfuhr,nam,sogenannt,entsprech,direkt,zugriff,einzeln,bestimmt,verfahr,beispiel,datenbank,kostenlos,sofort,genau,benutz,rechn,behord,visa,enthalt,technik,privat,genutzt,erfasst,speziell,ausserd,schnell,empfang,meist,ubertrag,anfrag,erfass,einsatz,schutz,informi,programm,haufig,bezahl,pass,nutzung,list,ec,erkenn,uberweis,heisst,samtlich,stellt,zud,innerhalb,eingerichtet,bislang,bild,verbind,umstell,funktioniert,taglich,unterschrift,installiert,card,verbrauch,dien,besitz,jeweil,datei,formular
 ,0.025,0.017,0.016,0.014,0.014,0.013,0.008,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic165,cdu,pds,brandenburg,anhalt,sachs,potsdam,landtag,partei,magdeburg,ministerprasident,stolp,landtagswahl,schill,vorpomm,gysi,schwerin,rot,bundnis,fraktionschef,koalition,fraktion,senat,thiers,landesregier,fdp,landesvorsitz,sozialdemokrat,sed,zusammenarbeit,gregor_gysi,diepg,große_koalition,wahl,großen_koalition,spitzenkandidat,kamps,dvu,regierungschef,bisky,burgermeist,bundestag,landeschef,bundesland,stimm,septemb,linkspartei,bund,schonbohm,erneut,platzeck,abgeordnetenhaus,bundestagswahl,fraktionsvorsitz,ringstorff,samstag,stellvertret,gemeinsam,minderheitsregier,lothar_bisky,bild,innenminist,hauptstadt,nachfolgepartei,bundesweit,innensenator,vorsitz,märkische_allgemeine,woll,kundigt,jörg_schönbohm,manfred_stolpe,landesvorstand,koalitionsverhandl,abend,berliner_spd,oktob,bohm,harald_ringstorff,christdemokrat,regiert,senator,landtagsfraktion,gefuhrt,matthias_platzeck,reinhard_höppner,fortsetz,thuring,koalitionspartn,sprach,holt,klar,landowsky,markisch,stell,momp,vertret,stellt,gewahlt,pau,bildung
 ,0.094,0.083,0.034,0.023,0.022,0.021,0.016,0.016,0.016,0.015,0.012,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic166,partei,ministerprasident,parlament,regierungschef,opposition,minist,kabinett,koalition,rucktritt,wahl,neuwahl,konservativ,premi,sozialist,sozialdemokrat,liberal,vorsitz,amt,kommunist,demokrat,abgeordnet,parlamentswahl,recht,mehrheit,link,bisher,staatsprasident,vorgezog,bildung,ex,christdemokrat,oppositionell,koalitionspartn,regierungspartei,regierungsbild,neue_regierung,entlass,unterstutz,volkspartei,finanzminist,sitz,gewahlt,oppositionspartei,aussenminist,zuruckgetret,mitt,regierungskoalition,neuen_regierung,innenminist,amtier,bundnis,bild,kundigt,kris,mandat,premierminist,wahlsieg,verfugt,innenpolit,regierungskris,angekundigt,oppositionsfuhr,ressort,auflos,koalitionsregier,minderheitsregier,ernenn,verfass,ehemal,sturz,national,gefuhrt,stimm,parteichef,wirtschaftsminist,ernannt,nationalist,vertret,stellvertret,zurucktret,machtkampf,regi,vertrau,vereidigt,parlamentsprasident,vorzeit,misstrauensvotum,gebildet,ministeri,beauftragt,parlamentar,niederlag,umstritt,amtszeit,fuhrung,kabinettsumbild,ablos,verlor,regiert,inn
 ,0.054,0.03,0.027,0.023,0.023,0.023,0.02,0.019,0.019,0.018,0.015,0.014,0.013,0.012,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic167,millionen_euro,umsatz,gewinn,milliarden_euro,ergebnis,konz,verlust,stieg,vorjahr,ersten_halbjahr,ersten_quartal,gesamtjahr,steu,legt,prognos,neun,plus,quartal,geschaftsjahr,teilt,minus,erhoht,dritten_quartal,geschaft,erzielt,abschreib,vergangenen_jahr,zweiten_quartal,analyst,schwach,rechnet,vorstandschef,gestieg,sank,spart,steigert,gesteigert,verbucht,ebit,erwart,operativ,verkauf,leicht,erlos,steig,dank,kraftig,trotz,vorjahreszeitraum,sech,verdient,uberschuss,positiv,vierten_quartal,million,knapp,wachstum,fiel,verbessert,ertrag,nettogewinn,konzernchef,zins,erwirtschaftet,klettert,betriebsergebnis,verzeichnet,akti,belastet,vorsteuergewinn,profitiert,gerechnet,ebitda,je,bereinigt,strich,bilanz,roten_zahlen,zweistell,belast,operative_ergebnis,laufende_jahr,bereich,mitteilt,ubertroff,finanzvorstand,gewinnzon,kost,bess,laufenden_jahr,ruckgang,wuch,divid,betrug,reingewinn,umsatzplus,ergebnis_vor_steuern,konzernumsatz,finanzchef,ergebnis_vor_zinsen
 ,0.049,0.04,0.029,0.026,0.018,0.016,0.016,0.015,0.011,0.01,0.009,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic168,bau,wohnung,miet,haus,wohnungsbau,million,offent,bauwirtschaft,sozial,forder,baustell,vermiet,bauarbeit,bauunternehm,verband,topf,baugewerb,bauindustri,bonn,kost,baukonz,jahrlich,strabag,ig_bau,haushalt,acht,gefordert,erheb,bauleist,baubranch,knapp,besond,ausserd,modernisier,pro,je,erhalt,gebaut,zusatz,sollt,bleib,besteh,wohn,wohngeld,architekt,mieterbund,allein,gebaud,eigenheimzulag,lieg,hauptverband,rechn,privat,auftrag,bauherr,neubau,gesamt,deshalb,mindest,erhoh,angesicht,famili,baufirm,sanier,entsprech,wand,leistung,lbs,baukonzern,bilfing,schwaetz,baukonjunktur,einkomm,wohneigentum,eigenheim,umwelt,allgemein,quadratmet,wohnraum,sieb,bauminist,insbesond,erhoht,vorgeseh,inzwisch,ostdeutschland,bilfinger_berger,heizung,keitel,bundesbauminist,rechnet,statt,weiterhin,durft,mietrecht,wohnungspolit,sech,fertiggestellt,alt,deutschen_bauindustrie
 ,0.056,0.026,0.017,0.012,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic169,osterreich,plus,gegenub,minus,januar,statist,oktob,septemb,fpo,ruckgang,stieg,novemb,februar,wiesbad,dezemb,ging,haid,ovp,leicht,gestieg,juli,vormonat,nahm,sank,vorjahr,teilt,spo,mitteilt,erhoht,zuvor,legt,wert,vergleich,erstmal,blieb,anstieg,sogar,gewerb,export,auftragseingang,ausfuhr,fiel,statistische_bundesamt,schilling,gesunk,real,zuwach,verzeichnet,saisonbereinigt,produktion,vorlauf,marz,jahresfrist,industri,schussel,os,bundesamt,unverandert,freiheit,berichtet,gesamt,inland,vorjahresmonat,juni,jörg_haider,april,betrug,ausland,zuletzt,einfuhr,binn,entsprech,jahresvergleich,knapp,nominal,zuruckgegang,kraftig,kam,geleg,jahresbeginn,statistischen_bundesamtes,bestell,erreicht,klima,klestil,sech,ersten_halbjahr,rucklauf,vorjahresniveau,nachfrag,bundeskanzl,stand,registriert,jeweil,besond,od,meldet,import,prozentpunkt,verringert
 ,0.034,0.025,0.02,0.018,0.016,0.016,0.013,0.012,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002
topic170,sozial,gesellschaft,okonom,marktwirtschaft,gerecht,globalisier,wirtschaftspolit,burg,mensch,verantwort,zukunft,arbeit,staatlich,aufgab,wettbewerb,notwend,syst,sozialstaat,freiheit,wandel,herausforder,national,modern,wohlstand,schaff,begriff,volkswirtschaft,sozialpolit,chanc,schwach,struktur,nachhalt,verander,beispiel,kapitalismus,ziel,gestalt,bevolker,arbeitslos,statt,problem,brauch,jahrhundert,generation,ide,wachsend,arbeitsplatz,zunehm,diskussion,modell,leistung,okolog,handeln,denk,reich,ordnungspolit,bess,wettbewerbsfah,offent,debatt,bundesrepubl,eben,steu,solidaritat,breit,institution,okonomi,last,ansatz,jahrzehnt,system,ford,leist,sicher,einzeln,dynam,entwickl,sorg,gerad,ordnung,form,setzt,braucht,ebenso,konzept,fortschritt,kultur,folg,eigenverantwort,kons,kapital,zentral,vorbild,bildung,verteil,thes,verhaltnis,grundleg,rahmenbeding,beschaft
 ,0.039,0.024,0.011,0.011,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic171,vorschlag,plan,konzept,lehnt,vorstoss,vorstell,vorgeschlag,papi,modell,sollt,forder,vorgelegt,diskussion,ablehn,grundsatz,widerstand,losung,konkret,abgelehnt,begrusst,initiativ,gemeinsam,ide,zustimm,vorleg,arbeitsgrupp,lehn,diskutiert,uberleg,thema,woll,ausgesproch,unterstutzt,strikt,pladiert,kritik,kompromiss,aussert,sprach,vorhab,tisch,umstritt,kritisiert,gestoss,unterstutz,schlagt,stosst,empfehl,debatt,skeptisch,absag,berat,bisher,gefordert,erteilt,punkt,entsprech,off,zud,grundlag,betont,alternativ,streit,heisst,bedenk,pruf,erarbeitet,sinnvoll,befurwortet,schlug,stiess,verzicht,darin,einfuhr,nannt,erarbeit,bekraftigt,position,festleg,darub,vorgestellt,innerhalb,seh,diskuti,ford,umsetz,vollig,danach,stoss,gremium,breit,form,hingeg,entwurf,abgestimmt,ahnlich,zunach,unterschied,heftig,detail
 ,0.078,0.054,0.023,0.018,0.016,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic172,ost,west,sachs,ostdeutsch,ostdeutschland,leipzig,dresd,thuring,neuen_ländern,neuen_bundesländern,erfurt,sachsisch,anhalt,westdeutsch,hall,neuen_länder,westdeutschland,einheit,brandenburg,biedenkopf,neuen_bundesländer,alt,ddr,wend,alten_bundesländern,region,aufbau_ost,dresdn,bundesland,aufbau,solidarpakt,weimar,alten_ländern,unterschied,wiederverein,angleich,regional,milbradt,magdeburg,gesamtdeutsch,thüringer_allgemeine,forder,vorpomm,freistaat,deutschen_einheit,gera,verein,mitteldeutsch,suhl,gleich,osten_deutschlands,bundesweit,bundesrepubl,ehemaligen_ddr,georg_milbradt,besond,aufschwung,bundesgebiet,wirtschaftsminist,betrieb,westlich,eisenach,hilf,ostlich,kurt_biedenkopf,sächsische_zeitung,einwohn,erreicht,niveau,lebensverhaltnis,kopf,jena,arbeitsplatz,ostthuring,alten_bundesländer,gefordert,schomm,schwanitz,leipziger_volkszeitung,zwickau,mittel,cottbus,ministerpräsident_kurt_biedenkopf,althaus,ansicht,ostdeutschen_länder,fordermittel,erhalt,solidaritat,infrastruktur,investitionszulag,westniveau,gegenwart,situation,lieg,bund,wirtschaftsforder,ii,allein,abwander
 ,0.117,0.078,0.043,0.042,0.041,0.039,0.03,0.03,0.026,0.022,0.019,0.018,0.017,0.017,0.013,0.011,0.01,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic173,warnt,davor,gewarnt,gefahr,betont,erneut,zugleich,sollt,angesicht,kritisiert,durf,sprach,fuhr,wies,bekraftigt,brief,droht,aufgefordert,gefahrd,aussert,verlangt,forder,warnung,gefahrdet,appelliert,kundigt,folg,warn,mahnt,scharf,ansicht,nannt,verhind,unterdess,droh,besorgt,eindring,gleichzeit,befurcht,woll,gefordert,vorgeh,vorsitz,sofort,schreib,appell,situation,bezeichnet,verwi,befurchtet,ford,lehnt,konsequenz,notwend,stopp,nachdruck,massnahm,setz,erklar,massiv,tun,warf,hart,drohend,versuch,unterstutz,reaktion,besteh,einseit,schritt,notfall,wandt,handeln,seh,zuvor,zud,verscharft,nehm,zuruckhalt,verteidigt,wochen,drohung,wort,ausgesproch,bedenk,red,verzicht,besorgnis,blick,pladiert,geaussert,umgeh,bleib,uberzog,ernsthaft,jung,vermeid,entschloss,rasch,verstarkt
 ,0.076,0.029,0.026,0.022,0.02,0.019,0.019,0.019,0.015,0.014,0.014,0.013,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic174,ddr,stasi,ehemal,mitarbeit,akt,damal,sed,honeck,behord,ex,grenz,bundesrepubl,tatig,person,kontakt,wend,gauck,unterlag,vergang,burg,ehemaligen_ddr,jahrig,schalck,letzt,krenz,mielk,mitglied,verantwort,spionag,staatssich,ministerium,mfs,zustand,unrecht,gearbeitet,früheren_ddr,spion,vorwurf,alt,uberpruf,west,ost,inoffiziell,einstig,aufarbeit,stellvertret,leit,erich_honecker,gefuhrt,verrat,offizi,opf,gegeb,egon,gehabt,parteichef,gemacht,erhalt,agent,funktionar,bestatigt,burgerrechtl,gestellt,bahr,totschlag,wienand,oktob,innerdeutsch,berliner_landgericht,information,rechtsstaat,jurist,bundesdeutsch,novemb,nie,vorsitz,fluchtling,sogenannt,modrow,politburo,dokument,laut,bezeichnet,bekannt,tisch,maizi,antrag,versucht,gehort,regim,berliner_mauer,verfolgt,geschicht,jahrelang,dien,heutig,erklar,golodkowski,verfolg,kgb
 ,0.063,0.03,0.025,0.014,0.014,0.013,0.013,0.012,0.011,0.011,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
